Year,Make,Model,Class,Transmission,Cylinders,Engine,FuelType,City,Highway,Combined
1993,Ford,F150 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5,Regular,12,17,14
1985,Chevrolet,S10 Blazer 2WD,Special Purpose Vehicle 2WD,Automatic 4-spd,4,2.5,Regular,18,24,20
1993,Ford,F150 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5,Regular,12,17,14
1993,Ford,F150 Pickup 4WD,Standard Pickup Trucks,Manual 4-spd,8,5,Regular,12,15,13
1993,Ford,F150 Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,8,5,Regular,12,16,13
1993,Ford,F150 Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5.8,Regular,11,15,12
1993,Ford,Ranger Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,4,2.3,Regular,19,24,21
1993,Ford,Ranger Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,6,3,Regular,16,20,18
1993,Ford,Ranger Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,6,3,Regular,16,22,18
1993,Ford,Ranger Pickup 4WD,Standard Pickup Trucks,Automatic 4-spd,6,4,Regular,15,20,17
1993,Ford,Ranger Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,6,4,Regular,16,21,18
1993,GMC,Sierra 1500 4WD,Standard Pickup Trucks,Automatic 4-spd,6,4.3,Regular,14,17,15
1985,Chevrolet,S10 Blazer 2WD,Special Purpose Vehicle 2WD,Manual 4-spd,4,2.5,Regular,19,24,21
1993,GMC,Sierra 1500 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,14,17,15
1993,GMC,Sierra 1500 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,14,18,16
1993,GMC,Sierra 1500 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5,Regular,12,17,14
1993,GMC,Sierra 1500 4WD,Standard Pickup Trucks,Manual 5-spd,8,5,Regular,12,16,13
1993,GMC,Sierra 1500 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,GMC,Sierra 1500 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,11,16,13
1993,GMC,Sierra 1500 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,11,14,12
1993,GMC,Sierra 1500 4WD,Standard Pickup Trucks,Automatic 4-spd,8,6.2,Diesel,15,20,17
1993,GMC,Sierra 2500 4WD,Standard Pickup Trucks,Automatic 4-spd,6,4.3,Regular,14,17,15
1993,GMC,Sierra 2500 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,13,17,14
1985,Chevrolet,S10 Blazer 2WD,Special Purpose Vehicle 2WD,Manual 5-spd,4,2.5,Regular,19,26,22
1993,GMC,Sierra 2500 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,14,17,15
1993,GMC,Sierra 2500 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5,Regular,12,17,14
1993,GMC,Sierra 2500 4WD,Standard Pickup Trucks,Manual 5-spd,8,5,Regular,11,16,13
1993,GMC,Sierra 2500 4WD,Standard Pickup Trucks,Automatic 4-spd,8,5.7,Regular,11,16,13
1993,GMC,Sierra 2500 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,11,16,13
1993,GMC,Sierra 2500 4WD,Standard Pickup Trucks,Manual 5-spd,8,5.7,Regular,11,14,12
1993,GMC,Sierra 2500 4WD,Standard Pickup Trucks,Automatic 4-spd,8,6.2,Diesel,15,20,17
1993,GMC,Sonoma 4WD,Standard Pickup Trucks,Automatic 4-spd,6,4.3,Premium,15,20,16
1993,GMC,Sonoma 4WD,Standard Pickup Trucks,Automatic 4-spd,6,4.3,Regular,15,19,16
1993,GMC,Sonoma 4WD,Standard Pickup Trucks,Manual 5-spd,6,4.3,Regular,15,20,16
1985,Dodge,Colt,Subcompact Cars,Manual 4-spd,4,1.5,Regular,31,37,34
1985,Chevrolet,S10 Blazer 2WD,Special Purpose Vehicle 2WD,Automatic 4-spd,6,2.8,Regular,15,23,18
1993,Isuzu,Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,4,2.6,Regular,15,19,17
1993,Isuzu,Pickup 4WD,Standard Pickup Trucks,Manual 5-spd,6,3.1,Regular,14,17,15
1993,Mitsubishi,Truck 4WD,Standard Pickup Trucks,Automatic 4-spd,4,2.4,Regular,16,19,17
1993,Mitsubishi,Truck 4WD,Standard Pickup Trucks,Manual 5-spd,4,2.4,Regular,17,20,18
1993,Mitsubishi,Truck 4WD,Standard Pickup Trucks,Manual 5-spd,6,3,Regular,15,20,17
1993,Mazda,B2600i 4x4,Standard Pickup Trucks,Automatic 4-spd,4,2.6,Regular,15,19,17
1993,Mazda,B2600i 4x4,Standard Pickup Trucks,Manual 5-spd,4,2.6,Regular,16,19,17
1993,Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks,Automatic 4-spd,4,2.4,Regular,16,18,17
1993,Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks,Manual 5-spd,4,2.4,Regular,17,20,18
1993,Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks,Automatic 4-spd,6,3,Regular,12,16,13
1985,Chevrolet,S10 Blazer 2WD,Special Purpose Vehicle 2WD,Manual 4-spd,6,2.8,Regular,16,23,19
1993,Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks,Automatic 4-spd,6,3,Regular,13,16,14
1993,Toyota,Truck 4WD/T100 4WD,Standard Pickup Trucks,Manual 5-spd,6,3,Regular,14,17,15
1993,Chevrolet,Astro AWD (cargo),Vans,Automatic 4-spd,6,4.3,Premium,14,20,16
1993,Chevrolet,Astro 2WD (cargo),Vans,Automatic 4-spd,6,4.3,Premium,15,21,17
1993,Chevrolet,Astro 2WD (cargo),Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,Chevrolet,G10/20 Van 2WD,Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,Chevrolet,G10/20 Van 2WD,Vans,Automatic 4-spd,8,5,Regular,13,17,15
1993,Chevrolet,G10/20 Van 2WD,Vans,Automatic 4-spd,8,5.7,Regular,13,17,14
1993,Chevrolet,G30 Van 2WD,Vans,Automatic 4-spd,6,4.3,Regular,15,20,16
1993,Chevrolet,G30 Van 2WD,Vans,Automatic 4-spd,8,5.7,Regular,13,18,14
1985,Chevrolet,S10 Blazer 2WD,Special Purpose Vehicle 2WD,Manual 5-spd,6,2.8,Regular,15,22,18
1993,Dodge,B150/B250 Van 2WD,Vans,Automatic 4-spd,6,3.9,Regular,13,16,14
1993,Dodge,B150/B250 Van 2WD,Vans,Automatic 3-spd,6,3.9,Regular,14,16,15
1993,Dodge,B150/B250 Van 2WD,Vans,Manual 5-spd,6,3.9,Regular,12,17,14
1993,Dodge,B150/B250 Van 2WD,Vans,Automatic 3-spd,8,5.2,Regular,11,13,12
1993,Dodge,B150/B250 Van 2WD,Vans,Automatic 4-spd,8,5.2,Regular,11,16,13
1993,Dodge,B150/B250 Van 2WD,Vans,Automatic 4-spd,8,5.9,Regular,11,15,13
1993,Dodge,B350 Van 2WD,Vans,Automatic 3-spd,6,3.9,Regular,14,16,14
1993,Dodge,B350 Van 2WD,Vans,Automatic 4-spd,8,5.2,Regular,11,16,13
1993,Dodge,B350 Van 2WD,Vans,Automatic 4-spd,8,5.9,Regular,11,14,12
1993,Ford,Aerostar Van,Vans,Automatic 4-spd,6,3,Regular,16,22,18
1985,Dodge,AD100/AD150 Ramcharger 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,8,5.2,Regular,11,12,11
1993,Ford,Aerostar Van,Vans,Manual 5-spd,6,3,Regular,17,23,19
1993,Ford,Aerostar Van,Vans,Automatic 4-spd,6,4,Regular,15,20,17
1993,Ford,Aerostar Van AWD,Vans,Automatic 4-spd,6,4,Regular,15,20,17
1993,Ford,E150 Econoline 2WD,Vans,Automatic 3-spd,6,4.9,Regular,13,15,14
1993,Ford,E150 Econoline 2WD,Vans,Automatic 4-spd,6,4.9,Regular,13,17,15
1993,Ford,E150 Econoline 2WD,Vans,Automatic 4-spd,8,5,Regular,12,17,14
1993,Ford,E150 Econoline 2WD,Vans,Automatic 4-spd,8,5,Regular,12,17,14
1993,Ford,E150 Econoline 2WD,Vans,Automatic 4-spd,8,5.8,Regular,11,15,12
1993,Ford,E250 Econoline 2WD,Vans,Automatic 3-spd,6,4.9,Regular,12,14,13
1993,Ford,E250 Econoline 2WD,Vans,Automatic 4-spd,6,4.9,Regular,12,17,14
1985,Dodge,AD100/AD150 Ramcharger 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,8,5.2,Regular,11,13,12
1993,Ford,E250 Econoline 2WD,Vans,Automatic 4-spd,8,5.8,Regular,10,14,11
1993,GMC,Vandura G15/25 2WD,Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,GMC,Vandura G15/25 2WD,Vans,Automatic 4-spd,8,5,Regular,13,17,15
1993,GMC,Vandura G15/25 2WD,Vans,Automatic 4-spd,8,5.7,Regular,13,17,14
1993,GMC,Vandura G35 2WD,Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,GMC,Vandura G35 2WD,Vans,Automatic 4-spd,8,5.7,Regular,13,18,14
1993,GMC,Safari AWD (cargo),Vans,Automatic 4-spd,6,4.3,Premium,14,20,16
1993,GMC,Safari 2WD (cargo),Vans,Automatic 4-spd,6,4.3,Premium,15,21,17
1993,GMC,Safari 2WD (cargo),Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,Chevrolet,Astro AWD (passenger),Vans,Automatic 4-spd,6,4.3,Premium,14,18,15
1985,Dodge,AD100/AD150 Ramcharger 2WD,Special Purpose Vehicle 2WD,Automatic 3-spd,8,5.2,Regular,12,15,13
1993,Chevrolet,Astro 2WD (passenger),Vans,Automatic 4-spd,6,4.3,Premium,14,19,16
1993,Chevrolet,Astro 2WD (passenger),Vans,Automatic 4-spd,6,4.3,Regular,15,20,17
1993,Chevrolet,Sport Van G10/20 2WD,Vans,Automatic 4-spd,6,4.3,Regular,14,17,15
